PB_ID;Product_Description;Name;Ookinete;Oocyst;Sporozoite;Liver;Merozoite;Ring;Trophozoite;Schizont;Female;Male;Further_Information
PBANKA_0101300;geranylgeranyl transferase type-2 subunit beta, putative;N/A;1,16;2,63;0,17;1,08;0;0,28;2,19;0,05;0,68;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0101300"">PBANKA_0101300</a>"
PBANKA_0101400;SAC3 domain-containing protein, putative;N/A;2,63;5,34;1,74;4,74;0;0,87;4,75;2,12;4,16;1,65;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0101400"">PBANKA_0101400</a>"
PBANKA_0101500;conserved Plasmodium protein, unknown function;N/A;1,61;3,29;0,03;1,92;0,07;0,29;2,36;0,36;7,26;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0101500"">PBANKA_0101500</a>"
PBANKA_0101600;JmjC domain-containing protein, putative;JmjC2;0,32;2,84;0,29;2,82;0;0,26;2,12;0,16;0,6;0,1;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0101600"">PBANKA_0101600</a>"
PBANKA_0101700;conserved Plasmodium protein, unknown function;N/A;1,52;3,51;1,13;3,51;0,05;0,57;3,88;0,84;1,09;5,79;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0101700"">PBANKA_0101700</a>"
PBANKA_0101800;conserved Plasmodium protein, unknown function;N/A;4,38;5,11;2,64;2,65;0,45;0,87;2,12;0,57;7,19;2,87;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0101800"">PBANKA_0101800</a>"
PBANKA_0101900;RNA-binding protein, putative;N/A;0,3;3,28;0,22;3,43;0,03;0,67;5,82;0,58;2,68;0,98;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0101900"">PBANKA_0101900</a>"
PBANKA_0102000;mitochondrial chaperone BCS1, putative;BCS1;0,8;4,6;0,87;2,5;0;0,37;3,88;0,28;0,53;0,09;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0102000"">PBANKA_0102000</a>"
PBANKA_0102100;dihydroorotate dehydrogenase, putative;DHODH;1,05;4,39;0,35;2,18;0,03;0,49;2,52;0,64;3,44;0,29;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0102100"">PBANKA_0102100</a>"
PBANKA_0102200;trophozoite exported protein 1, putative;TEX1;2,44;5,94;0,36;4,43;1,2;1,58;2,5;0,97;2,54;0,97;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0102200"">PBANKA_0102200</a>"
PBANKA_0102300;cation/H+ antiporter;CAX;0,35;0,66;0,15;1,07;0;0,07;1,98;0,09;1,8;0,27;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0102300"">PBANKA_0102300</a>"
PBANKA_0102400;conserved Plasmodium protein, unknown function;N/A;0,56;0,23;0,2;1,86;0;0,57;0,83;0,04;2,92;2,71;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0102400"">PBANKA_0102400</a>"
PBANKA_0102500;phenylalanine--tRNA ligase, putative;N/A;0,88;1,99;0,07;1,32;0;0,31;0,98;0,78;1,37;0,58;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0102500"">PBANKA_0102500</a>"
PBANKA_0102600;centrosomal protein CEP76, putative;CEP76;8,63;4,68;0,3;6,13;0,01;0,44;5,55;1,53;1,92;5,5;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0102600"">PBANKA_0102600</a>"
PBANKA_0102700;conserved Plasmodium protein, unknown function;N/A;1,01;0,9;0;0,37;0,05;0,14;0,63;0,14;1,57;6,27;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0102700"">PBANKA_0102700</a>"
PBANKA_0102800;conserved Plasmodium protein, unknown function;N/A;2,4;2,75;0,03;2,81;0,04;0,43;3,07;0,41;1,22;3,52;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0102800"">PBANKA_0102800</a>"
PBANKA_0102900;AP2 domain transcription factor, putative;SIP2;1,13;0,53;0,04;2,91;0,05;0,09;2,98;3,99;6,53;0,81;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0102900"">PBANKA_0102900</a>"
PBANKA_0103000;mitochondrial ribosomal protein L41, putative;N/A;5,47;4,87;0,4;3,54;0,01;0,26;3,83;0,54;2,5;1,4;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0103000"">PBANKA_0103000</a>"
PBANKA_0103100;conserved Plasmodium protein, unknown function;N/A;1,65;4,31;0,14;2,12;0,03;0,49;2,09;0,3;1,19;0,49;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0103100"">PBANKA_0103100</a>"
PBANKA_0103200;conserved protein, unknown function;N/A;3,03;0,48;0,01;0,16;0,12;0,23;0,15;0,09;7,08;0,14;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0103200"">PBANKA_0103200</a>"
PBANKA_0103300;conserved Plasmodium protein, unknown function;N/A;3,18;5,82;1,19;4,16;1,98;2,45;3,78;3,59;3,71;4,24;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0103300"">PBANKA_0103300</a>"
PBANKA_0103400;glyoxalase I-like protein GILP, putative;GILP;1,49;2,92;0,14;3,06;0,07;0,8;2,4;0,15;2,57;2,2;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0103400"">PBANKA_0103400</a>"
PBANKA_0103500;RAP protein, putative;N/A;2,7;2,05;0,01;1,36;0,04;0,33;1,58;0,55;0,83;0,31;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0103500"">PBANKA_0103500</a>"
PBANKA_0103700;conserved Plasmodium protein, unknown function;N/A;0,83;3,04;0,24;3,16;0;0,92;1,73;0,02;1,55;0,29;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0103700"">PBANKA_0103700</a>"
PBANKA_0103800;50S ribosomal protein L24, putative;N/A;1,12;4,28;0,3;2,89;0;1,32;2,38;0,23;0,83;0,29;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0103800"">PBANKA_0103800</a>"
PBANKA_0103900;RNA-binding protein, putative;N/A;3,42;4,81;2,42;2,91;0,77;0,58;4,71;2,81;4,32;3,03;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0103900"">PBANKA_0103900</a>"
PBANKA_0104000;conserved protein, unknown function;N/A;2,17;3,18;1,35;4,81;0,02;0,79;3,91;0,44;4,69;3,16;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0104000"">PBANKA_0104000</a>"
PBANKA_0104100;serine/threonine protein kinase, putative;ARK1;1,82;2,47;0,47;7,29;0,05;0,61;3,6;1,03;5,09;8,5;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0104100"">PBANKA_0104100</a>"
PBANKA_0104200;calcium-binding protein, putative;N/A;2,61;0,1;0;0,05;0;0,12;0,27;0,03;0,04;3,31;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0104200"">PBANKA_0104200</a>"
PBANKA_0104300;cyclin dependent kinase binding protein, putative;N/A;0,86;0,8;0;0,76;0;0,32;1,99;0,22;0,31;1,49;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0104300"">PBANKA_0104300</a>"
PBANKA_0104400;nucleoside diphosphate kinase, putative;N/A;0,7;0,39;0,05;0,37;0,02;0,3;2,14;0,71;1,95;6,34;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0104400"">PBANKA_0104400</a>"
PBANKA_0104500;conserved Plasmodium protein, unknown function;N/A;6,18;0,46;0,25;0,76;0,11;0,13;0,53;0,09;7,41;0,27;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0104500"">PBANKA_0104500</a>"
PBANKA_0104600;DNA repair protein RAD50, putative;RAD50;4,97;3,77;0,07;3,77;0,11;1,21;3,89;3,29;4,15;4,99;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0104600"">PBANKA_0104600</a>"
PBANKA_0104700;long chain polyunsaturated fatty acid elongation enzyme, putative;ELO-B;0,82;3,24;0;3,61;0;0,84;5,81;0,78;5,74;6,25;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0104700"">PBANKA_0104700</a>"
PBANKA_0104800;conserved Plasmodium protein, unknown function;N/A;1,15;3,79;0,08;2,3;2,44;0,77;2,35;3,8;1,88;2,68;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0104800"">PBANKA_0104800</a>"
PBANKA_0104900;RNA-binding protein, putative;N/A;2,39;5,94;0,3;4,49;0,39;2,13;4,29;1,23;4,36;1,56;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0104900"">PBANKA_0104900</a>"
PBANKA_0105000;ubiquitin-conjugating enzyme E2 PEX4, putative;PEX4;5,79;6,04;1,44;5,06;0,05;0,74;3,69;2,24;5,35;1,88;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0105000"">PBANKA_0105000</a>"
PBANKA_0105100;conserved Plasmodium protein, unknown function;N/A;0,85;0,05;0;0,23;0;0,14;0,15;0,27;8,57;0,38;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0105100"">PBANKA_0105100</a>"
PBANKA_0105200;polypyrimidine tract-binding protein, putative;PTB;1,44;2,85;0,12;4,03;0,31;1,04;4,67;1,64;1,36;0,4;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0105200"">PBANKA_0105200</a>"
PBANKA_0105300;conserved Plasmodium protein, unknown function;N/A;7,68;6,09;1,54;5,14;0,53;1,87;3,76;1,86;4,08;0,77;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0105300"">PBANKA_0105300</a>"
PBANKA_0105400;coatomer alpha subunit, putative;N/A;1,8;3,72;0,05;2,91;0,04;0,46;8,28;1,6;2,78;1,06;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0105400"">PBANKA_0105400</a>"
PBANKA_0105500;glutaredoxin-like protein;GLP2;5,32;6,17;0,27;3,81;0,14;2,14;3,07;0,14;1,95;0,12;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0105500"">PBANKA_0105500</a>"
PBANKA_0105600;translation initiation factor IF-2, putative;N/A;1,14;5,67;0;3,86;0,82;2,13;2,66;0,18;1,94;1,31;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0105600"">PBANKA_0105600</a>"
PBANKA_0105700;MYND-type zinc finger protein, putative;N/A;4,04;1,12;0,01;3,9;0,03;0,19;0,35;0,11;3,47;1,07;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0105700"">PBANKA_0105700</a>"
PBANKA_0105800;RING zinc finger protein, putative;N/A;0,88;2,12;0;1,19;0,04;0,07;2,02;0,08;2,29;0,82;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0105800"">PBANKA_0105800</a>"
PBANKA_0105900;uroporphyrinogen III decarboxylase;UROD;0,66;4,35;0,05;2,18;0;0,3;3,68;0,33;2,19;0,73;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0105900"">PBANKA_0105900</a>"
PBANKA_0106000;G-protein associated signal transduction protein, putative;N/A;4,61;4,88;2,4;3,42;0;0,44;4,34;3,77;3;4,21;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0106000"">PBANKA_0106000</a>"
PBANKA_0106100;4-hydroxybenzoate polyprenyltransferase, putative;COQ2;0,93;1,02;0,39;0,97;0;0,11;1,48;0,21;0,87;1,37;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0106100"">PBANKA_0106100</a>"
PBANKA_0106200;spindle assembly abnormal protein 6;SAS6;0,75;0,48;0,12;4,71;0,03;0,29;1,75;0,38;1,89;6,35;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0106200"">PBANKA_0106200</a>"
PBANKA_0106300;conserved Plasmodium protein, unknown function;N/A;1,85;0,65;1,12;4,36;0,88;0,42;5,37;3,16;9,34;2,38;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0106300"">PBANKA_0106300</a>"
PBANKA_0106400;GTP-binding protein, putative;N/A;6,05;3,82;0,25;4,92;0,1;0,88;3,21;0,79;2,02;0,32;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0106400"">PBANKA_0106400</a>"
PBANKA_0106500;conserved Plasmodium protein, unknown function;N/A;6,42;5,07;0,06;2,26;0,09;1,24;1,86;0,1;0,43;0,68;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0106500"">PBANKA_0106500</a>"
PBANKA_0106600;diphthine methyltransferase, putative;DPH7;5,38;6,57;0,1;3,79;0;1,01;3,64;0,11;1,03;0,54;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0106600"">PBANKA_0106600</a>"
PBANKA_0106700;conserved Plasmodium protein, unknown function;N/A;5,3;5,68;0,15;2,88;0,01;1,23;3,35;0,32;3,06;0,54;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0106700"">PBANKA_0106700</a>"
PBANKA_0106800;conserved Plasmodium protein, unknown function;N/A;3,34;4,74;0,35;1,61;0;0,88;1,49;0,39;3,06;1,9;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0106800"">PBANKA_0106800</a>"
PBANKA_0106900;heptatricopeptide repeat-containing protein, putative;N/A;2,48;4,94;0,09;3,53;0,19;1,68;4,4;1,17;3,8;1,99;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0106900"">PBANKA_0106900</a>"
PBANKA_0106950;sorting assembly machinery 50 kDa subunit, putative;SAM50;2,76;3,27;0,03;2,39;0,03;0,65;4,26;0,16;1,33;0,34;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0106950"">PBANKA_0106950</a>"
PBANKA_0107000;conserved Plasmodium protein, unknown function;N/A;5,27;3,97;0,03;4,94;0;1,15;6,4;1,26;5,43;0,5;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0107000"">PBANKA_0107000</a>"
PBANKA_0107100;proteasome subunit alpha type-2, putative;N/A;0,82;5,45;0;4,7;0;2,54;6,94;0,21;2,6;0,47;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0107100"">PBANKA_0107100</a>"
PBANKA_0107200;conserved Plasmodium protein, unknown function;N/A;3,93;0,83;0,02;1,72;0,02;0,35;1,07;0,16;3,87;6,56;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0107200"">PBANKA_0107200</a>"
PBANKA_0107300;T-complex protein 1 subunit zeta, putative;CCT6;1,31;7,36;0,31;4,52;0,07;3,28;5,17;0,3;2,6;2,34;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0107300"">PBANKA_0107300</a>"
PBANKA_0107400;ornithine aminotransferase, putative;OAT;0,95;6,29;1,43;2,78;0,05;1,81;6,12;2,07;2,33;5,1;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0107400"">PBANKA_0107400</a>"
PBANKA_0107500;conserved Plasmodium protein, unknown function;N/A;2,71;2,69;0,17;2,09;0;0,38;2,62;0,71;1,9;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0107500"">PBANKA_0107500</a>"
PBANKA_0107600;nucleoporin NUP637, putative;NUP637;2,82;7,05;0,62;5,92;0,46;2,38;7,89;2,79;3,7;3,78;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0107600"">PBANKA_0107600</a>"
PBANKA_0107700;zinc transporter ZIP1;ZIP1;6,52;4,52;0,08;1,48;0,36;0,45;1,19;2,48;4,31;0,3;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0107700"">PBANKA_0107700</a>"
PBANKA_0107800;citrate synthase-like protein, putative;N/A;2,61;1,9;0,13;1,53;0,06;0,14;1,18;0,17;2,7;0,68;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0107800"">PBANKA_0107800</a>"
PBANKA_0107900;conserved Plasmodium protein, unknown function;N/A;5,88;3,56;3,28;3,44;0;0,33;4,45;3,58;3,45;1,9;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0107900"">PBANKA_0107900</a>"
PBANKA_0108000;mitochondrial cardiolipin synthase, putative;CLS;1,27;3,84;2,18;3,24;0,05;0,55;2,35;0,83;1,64;1,11;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0108000"">PBANKA_0108000</a>"
PBANKA_0108100;conserved Plasmodium protein, unknown function;N/A;1,62;0,83;1,72;3,34;0;0,18;0,47;0,72;2,87;3,48;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0108100"">PBANKA_0108100</a>"
PBANKA_0108200;conserved Plasmodium protein, unknown function;N/A;0,66;2,88;0,1;4,68;0,67;1,09;2,08;2,82;1,8;2,56;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0108200"">PBANKA_0108200</a>"
PBANKA_0108300;palmitoyltransferase DHHC2;DHHC2;1,58;0,13;0,02;1,7;0,07;0,04;2,09;3,16;6,55;2,17;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0108300"">PBANKA_0108300</a>"
PBANKA_0108400;conserved Plasmodium protein, unknown function;N/A;2,57;4,64;0,09;3,76;0,02;0,7;4,72;2,75;3,09;3,33;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0108400"">PBANKA_0108400</a>"
PBANKA_0108500;mitochondrial ribosomal protein L19 precursor, putative;N/A;1,4;2,75;0,06;0,63;0;0,13;1,58;0,1;0,84;0,07;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0108500"">PBANKA_0108500</a>"
PBANKA_0108600;pre-mRNA-splicing factor SLU7, putative;SLU7;3,51;5,95;1,36;4,74;0,14;1,7;4,02;0,46;1,46;0,78;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0108600"">PBANKA_0108600</a>"
PBANKA_0108700;RNA-binding protein 25, putative;RBM25;6,66;6,79;0,44;4,07;0,75;2,62;3,63;0,71;5,42;2,78;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0108700"">PBANKA_0108700</a>"
PBANKA_0108800;histone H3, putative;H3;3,37;4,64;1,34;4,1;0,06;0,31;8,38;6,94;6,66;6,35;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0108800"">PBANKA_0108800</a>"
PBANKA_0108900;peptidyl-tRNA hydrolase PTRHD1, putative;N/A;0,11;4,19;0,02;4,03;0;0,97;0,82;0,1;1,14;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0108900"">PBANKA_0108900</a>"
PBANKA_0109000;conserved Plasmodium protein, unknown function;N/A;4,24;5,15;0,18;3,65;0;1,85;3,47;0,1;0,89;0,41;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0109000"">PBANKA_0109000</a>"
PBANKA_0109100;transketolase, putative;TK;8,79;9,69;0,57;7,92;0;3,08;6,45;0,44;3,7;0,79;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0109100"">PBANKA_0109100</a>"
